ch1,label,trial,timestamp
-4.908618691843003,0,0,1762459762.498374
14.419184279162437,0,0,1762459762.498374
180.1827700152062,0,0,1762459762.498374
-169.73722943896428,0,0,1762459762.498374
-60.820123029407114,0,0,1762459762.498374
-117.22529416112229,0,0,1762459762.498374
-68.59163513733074,0,0,1762459762.498374
0.5740746431984007,0,0,1762459762.498374
-83.7270102580078,0,0,1762459762.498374
-58.17975366069004,0,0,1762459762.498374
15.690750264097005,0,0,1762459762.498374
-66.3439552639611,0,0,1762459762.498374
53.946186910849065,0,0,1762459762.498374
-14.785694474820048,0,0,1762459762.498374
-23.417383572552353,0,0,1762459762.498374
-127.72319333674386,0,0,1762459762.498374
-0.3309811460785568,0,0,1762459762.498374
180.48196201166138,0,0,1762459762.498374
-89.17604449344799,0,0,1762459762.498374
-134.76542495330796,0,0,1762459762.498374
-87.97927650762722,0,0,1762459762.498374
-61.27639082400128,0,0,1762459762.498374
-54.372535505797714,0,0,1762459762.498374
-48.17178137926385,0,0,1762459762.498374
23.667956869583577,0,0,1762459762.498374
-18.880884926300496,0,0,1762459762.498374
54.290257706772536,0,0,1762459762.498374
-59.211966048460454,0,0,1762459762.498374
7.765902257990092,0,0,1762459762.498374
-104.87240460747853,0,0,1762459762.498374
-32.81949206115678,0,0,1762459762.498374
58.09747586166486,0,0,1762459762.498374
-65.78671017056331,0,0,1762459762.498374
-42.651689044665545,0,0,1762459762.498374
47.79031158378348,0,0,1762459762.498374
14.740815675351769,0,0,1762459762.498374
77.9077259269543,0,0,1762459762.498374
-46.05873790429905,0,0,1762459762.498374
-190.44879539357498,0,0,1762459762.498374
-124.3385838768445,0,0,1762459762.498374
24.40471716085449,0,0,1762459762.498374
24.221462063025683,0,0,1762459762.498374
192.31126557150856,0,0,1762459762.498374
-160.29398205084726,0,0,1762459762.498374
-115.75925337849185,0,0,1762459762.498374
-104.91354350699112,0,0,1762459762.498374
-14.493982278276235,0,0,1762459762.498374
-28.582185411360115,0,0,1762459762.498374
-14.482762578409165,0,0,1762459762.498374
15.993682160507888,0,0,1762459762.498374
-63.625047996174544,0,0,1762459762.498374
-69.276036829222,0,0,1762459762.498374
56.83338967664167,0,0,1762459762.498374
56.55663707992062,0,0,1762459762.498374
-99.66646386915818,0,0,1762459762.498374
-72.12210069550201,0,0,1762459762.498374
-54.4136744053103,0,0,1762459762.498374
-60.18434003693983,0,0,1762459762.498374
207.97770648589358,0,0,1762459762.498374
-116.39503637095913,0,0,1762459762.498374
-16.446210055146366,0,0,1762459762.498374
-49.888395458925515,0,0,1762459762.498374
-139.73575199441984,0,0,1762459762.498374
-67.63796064862981,0,0,1762459762.498374
75.06540196062997,0,0,1762459762.498374
-67.14055395452306,0,0,1762459762.498374
-68.49065783852711,0,0,1762459762.498374
-66.01858396781608,0,0,1762459762.498374
0.9031858392991126,0,0,1762459762.498374
115.0374526870437,0,0,1762459762.498374
-131.2985376943834,0,0,1762459762.498374
-54.86620229994878,0,0,1762459762.498374
-6.954343967605382,0,0,1762459762.498374
-73.93221227405593,0,0,1762459762.498374
48.91228157049045,0,0,1762459762.498374
-107.02658698195592,0,0,1762459762.498374
-28.35405151406303,0,0,1762459762.498374
-14.890411673579365,0,0,1762459762.498374
109.59215835155919,0,0,1762459762.498374
57.73096566600725,0,0,1762459762.498374
-160.20048455195501,0,0,1762459762.498374
-123.97581358114257,0,0,1762459762.498374
-40.662062268238515,0,0,1762459762.498374
-67.03583675576374,0,0,1762459762.498374
5.8174143810756505,0,0,1762459762.498374
51.507772139739245,0,0,1762459762.498374
-105.54184669954702,0,0,1762459762.498374
8.906571744475514,0,0,1762459762.498374
56.00313188647851,0,0,1762459762.498374
-119.77216603094712,0,0,1762459762.498374
7.896798756439239,0,0,1762459762.498374
-32.86811076058075,0,0,1762459762.498374
-49.540584763046354,0,0,1762459762.498374
14.987649072427303,0,0,1762459762.498374
-2.3131281225942075,0,0,1762459762.498374
-76.74087714077905,0,0,1762459762.498374
-22.512327783275396,0,0,1762459762.498374
-73.54326267866418,0,0,1762459762.498374
3.8764063040725887,0,0,1762459762.498374
-13.009241995867342,0,0,1762459762.498374
0.686271641869098,0,0,1762459762.498374
-60.749064930249006,0,0,1762459762.498374
119.93298172904179,0,0,1762459762.498374
-75.06540196062997,0,0,1762459762.498374
-47.69307418493554,0,0,1762459762.498374
-63.93171979254112,0,0,1762459762.498374
8.996329343412071,0,0,1762459762.498374
-5.985709879081696,0,0,1762459762.498374
-43.16405533859506,0,0,1762459762.498374
-49.61538276216015,0,0,1762459762.498374
92.16048465808854,0,0,1762459762.498374
-91.97722956025973,0,0,1762459762.498374
6.011889178771526,0,0,1762459762.498374
-113.30213910760358,0,0,1762459762.498374
-68.91700643347576,0,0,1762459762.498374
-12.69509039958939,0,0,1762459762.498374
-6.6626317710615695,0,0,1762459762.498374
-10.623185824137181,0,0,1762459762.498374
-73.51708337897435,0,0,1762459762.498374
3.1546056126244366,0,0,1762459762.498374
16.487348954658955,0,0,1762459762.498374
112.68131571495906,0,0,1762459762.498374
-125.46429376350716,0,0,1762459762.498374
-90.87021917337552,0,0,1762459762.498374
11.771335110533983,0,0,1762459762.498374
-64.12619459023699,0,0,1762459762.498374
35.037252734880894,0,0,1762459762.498374
93.3983915434219,0,0,1762459762.498374
-111.39105023024604,0,0,1762459762.498374
16.64442475279793,0,0,1762459762.498374
-76.60624074237421,0,0,1762459762.498374
-54.48099260451272,0,0,1762459762.498374
-25.410750248935074,0,0,1762459762.498374
35.448641730006784,0,0,1762459762.498374
-66.25045776506886,0,0,1762459762.498374
-45.019045716617256,0,0,1762459762.498374
